"idhod","hodnota","stapro_kod","DRUHZVIRE_cis","DRUHZVIRE_kod","refobdobi","rok","uzemi_cis","uzemi_kod","STAPRO_TXT","uzemi_txt","DRUHZVIRE_txt"
"736614638","159054","5560","132","1","20110401","2011","100","3042","Počet hospodářských zvířat","Plzeňský kraj","Skot"
"736614852","210949","5560","132","1","20110401","2011","100","3107","Počet hospodářských zvířat","Kraj Vysočina","Skot"
"736614780","100037","5560","132","1","20110401","2011","100","3085","Počet hospodářských zvířat","Královéhradecký kraj","Skot"
"736614700","40075","5560","132","1","20110401","2011","100","3051","Počet hospodářských zvířat","Karlovarský kraj","Skot"
"736614558","1343686","5560","132","1","20110401","2011","97","19","Počet hospodářských zvířat","Česká republika","Skot"
"736614995","74817","5560","132","1","20110401","2011","100","3140","Počet hospodářských zvířat","Moravskoslezský kraj","Skot"
"736614843","111473","5560","132","1","20110401","2011","100","3093","Počet hospodářských zvířat","Pardubický kraj","Skot"
"736614986","59153","5560","132","1","20110401","2011","100","3131","Počet hospodářských zvířat","Zlínský kraj","Skot"
"736614629","209759","5560","132","1","20110401","2011","100","3034","Počet hospodářských zvířat","Jihočeský kraj","Skot"
"736614915","58782","5560","132","1","20110401","2011","100","3115","Počet hospodářských zvířat","Jihomoravský kraj","Skot"
"736614924","89579","5560","132","1","20110401","2011","100","3123","Počet hospodářských zvířat","Olomoucký kraj","Skot"
"736614709","37188","5560","132","1","20110401","2011","100","3069","Počet hospodářských zvířat","Ústecký kraj","Skot"
"736614771","46726","5560","132","1","20110401","2011","100","3077","Počet hospodářských zvířat","Liberecký kraj","Skot"
"736614567","146094","5560","132","1","20110401","2011","93","1","Počet hospodářských zvířat","Hlavní město Praha + Středočeský kraj","Skot"
"736614696","972","5560","132","60","20110401","2011","100","3042","Počet hospodářských zvířat","Plzeňský kraj","Kozy"
"736614911","2842","5560","132","60","20110401","2011","100","3107","Počet hospodářských zvířat","Kraj Vysočina","Kozy"
"736614839","1522","5560","132","60","20110401","2011","100","3085","Počet hospodářských zvířat","Královéhradecký kraj","Kozy"
"736614705","1747","5560","132","60","20110401","2011","100","3051","Počet hospodářských zvířat","Karlovarský kraj","Kozy"
"736614563","23263","5560","132","60","20110401","2011","97","19","Počet hospodářských zvířat","Česká republika","Kozy"
"736615054","1399","5560","132","60","20110401","2011","100","3140","Počet hospodářských zvířat","Moravskoslezský kraj","Kozy"
"736614848","1537","5560","132","60","20110401","2011","100","3093","Počet hospodářských zvířat","Pardubický kraj","Kozy"
"736614991","927","5560","132","60","20110401","2011","100","3131","Počet hospodářských zvířat","Zlínský kraj","Kozy"
"736614634","2817","5560","132","60","20110401","2011","100","3034","Počet hospodářských zvířat","Jihočeský kraj","Kozy"
"736614920","1105","5560","132","60","20110401","2011","100","3115","Počet hospodářských zvířat","Jihomoravský kraj","Kozy"
"736614982","797","5560","132","60","20110401","2011","100","3123","Počet hospodářských zvířat","Olomoucký kraj","Kozy"
"736614767","1981","5560","132","60","20110401","2011","100","3069","Počet hospodářských zvířat","Ústecký kraj","Kozy"
"736614776","2102","5560","132","60","20110401","2011","100","3077","Počet hospodářských zvířat","Liberecký kraj","Kozy"
"736614625","3515","5560","132","60","20110401","2011","93","1","Počet hospodářských zvířat","Hlavní město Praha + Středočeský kraj","Kozy"
"736614637","2132","5560","132","70","20110401","2011","100","3042","Počet hospodářských zvířat","Plzeňský kraj","Koně"
"736614851","1413","5560","132","70","20110401","2011","100","3107","Počet hospodářských zvířat","Kraj Vysočina","Koně"
"736614779","2196","5560","132","70","20110401","2011","100","3085","Počet hospodářských zvířat","Královéhradecký kraj","Koně"
"736614699","1498","5560","132","70","20110401","2011","100","3051","Počet hospodářských zvířat","Karlovarský kraj","Koně"
"736614557","31068","5560","132","70","20110401","2011","97","19","Počet hospodářských zvířat","Česká republika","Koně"
"736614994","2580","5560","132","70","20110401","2011","100","3140","Počet hospodářských zvířat","Moravskoslezský kraj","Koně"
"736614842","2292","5560","132","70","20110401","2011","100","3093","Počet hospodářských zvířat","Pardubický kraj","Koně"
"736614985","1803","5560","132","70","20110401","2011","100","3131","Počet hospodářských zvířat","Zlínský kraj","Koně"
"736614628","4274","5560","132","70","20110401","2011","100","3034","Počet hospodářských zvířat","Jihočeský kraj","Koně"
"736614914","1695","5560","132","70","20110401","2011","100","3115","Počet hospodářských zvířat","Jihomoravský kraj","Koně"
"736614923","1486","5560","132","70","20110401","2011","100","3123","Počet hospodářských zvířat","Olomoucký kraj","Koně"
"736614708","2165","5560","132","70","20110401","2011","100","3069","Počet hospodářských zvířat","Ústecký kraj","Koně"
"736614770","2073","5560","132","70","20110401","2011","100","3077","Počet hospodářských zvířat","Liberecký kraj","Koně"
"736614566","5461","5560","132","70","20110401","2011","93","1","Počet hospodářských zvířat","Hlavní město Praha + Středočeský kraj","Koně"
"736614639","65874","5560","132","7","20110401","2011","100","3042","Počet hospodářských zvířat","Plzeňský kraj","Krávy"
"736614853","83197","5560","132","7","20110401","2011","100","3107","Počet hospodářských zvířat","Kraj Vysočina","Krávy"
"736614781","40470","5560","132","7","20110401","2011","100","3085","Počet hospodářských zvířat","Královéhradecký kraj","Krávy"
"736614701","18403","5560","132","7","20110401","2011","100","3051","Počet hospodářských zvířat","Karlovarský kraj","Krávy"
"736614559","551536","5560","132","7","20110401","2011","97","19","Počet hospodářských zvířat","Česká republika","Krávy"
"736614996","34037","5560","132","7","20110401","2011","100","3140","Počet hospodářských zvířat","Moravskoslezský kraj","Krávy"
"736614844","44278","5560","132","7","20110401","2011","100","3093","Počet hospodářských zvířat","Pardubický kraj","Krávy"
"736614987","26191","5560","132","7","20110401","2011","100","3131","Počet hospodářských zvířat","Zlínský kraj","Krávy"
"736614630","84524","5560","132","7","20110401","2011","100","3034","Počet hospodářských zvířat","Jihočeský kraj","Krávy"
"736614916","23894","5560","132","7","20110401","2011","100","3115","Počet hospodářských zvířat","Jihomoravský kraj","Krávy"
"736614925","38088","5560","132","7","20110401","2011","100","3123","Počet hospodářských zvířat","Olomoucký kraj","Krávy"
"736614710","15161","5560","132","7","20110401","2011","100","3069","Počet hospodářských zvířat","Ústecký kraj","Krávy"
"736614772","20456","5560","132","7","20110401","2011","100","3077","Počet hospodářských zvířat","Liberecký kraj","Krávy"
"736614568","56963","5560","132","7","20110401","2011","93","1","Počet hospodářských zvířat","Hlavní město Praha + Středočeský kraj","Krávy"
"736614697","1976466","5560","132","80","20110401","2011","100","3042","Počet hospodářských zvířat","Plzeňský kraj","Drůbež"
"736614912","448981","5560","132","80","20110401","2011","100","3107","Počet hospodářských zvířat","Kraj Vysočina","Drůbež"
"736614840","2727760","5560","132","80","20110401","2011","100","3085","Počet hospodářských zvířat","Královéhradecký kraj","Drůbež"
"736614706","203617","5560","132","80","20110401","2011","100","3051","Počet hospodářských zvířat","Karlovarský kraj","Drůbež"
"736614564","21250147","5560","132","80","20110401","2011","97","19","Počet hospodářských zvířat","Česká republika","Drůbež"
"736615055","1321781","5560","132","80","20110401","2011","100","3140","Počet hospodářských zvířat","Moravskoslezský kraj","Drůbež"
"736614849","1223110","5560","132","80","20110401","2011","100","3093","Počet hospodářských zvířat","Pardubický kraj","Drůbež"
"736614992","351172","5560","132","80","20110401","2011","100","3131","Počet hospodářských zvířat","Zlínský kraj","Drůbež"
"736614635","2854228","5560","132","80","20110401","2011","100","3034","Počet hospodářských zvířat","Jihočeský kraj","Drůbež"
"736614921","3672693","5560","132","80","20110401","2011","100","3115","Počet hospodářských zvířat","Jihomoravský kraj","Drůbež"
"736614983","380585","5560","132","80","20110401","2011","100","3123","Počet hospodářských zvířat","Olomoucký kraj","Drůbež"
"736614768","938044","5560","132","80","20110401","2011","100","3069","Počet hospodářských zvířat","Ústecký kraj","Drůbež"
"736614777","73799","5560","132","80","20110401","2011","100","3077","Počet hospodářských zvířat","Liberecký kraj","Drůbež"
"736614626","5077911","5560","132","80","20110401","2011","93","1","Počet hospodářských zvířat","Hlavní město Praha + Středočeský kraj","Drůbež"
"736614640","134986","5560","132","30","20110401","2011","100","3042","Počet hospodářských zvířat","Plzeňský kraj","Prasata"
"736614854","280866","5560","132","30","20110401","2011","100","3107","Počet hospodářských zvířat","Kraj Vysočina","Prasata"
"736614782","124286","5560","132","30","20110401","2011","100","3085","Počet hospodářských zvířat","Královéhradecký kraj","Prasata"
"736614702","10523","5560","132","30","20110401","2011","100","3051","Počet hospodářských zvířat","Karlovarský kraj","Prasata"
"736614560","1749092","5560","132","30","20110401","2011","97","19","Počet hospodářských zvířat","Česká republika","Prasata"
"736614997","61712","5560","132","30","20110401","2011","100","3140","Počet hospodářských zvířat","Moravskoslezský kraj","Prasata"
"736614845","127478","5560","132","30","20110401","2011","100","3093","Počet hospodářských zvířat","Pardubický kraj","Prasata"
"736614988","67431","5560","132","30","20110401","2011","100","3131","Počet hospodářských zvířat","Zlínský kraj","Prasata"
"736614631","173243","5560","132","30","20110401","2011","100","3034","Počet hospodářských zvířat","Jihočeský kraj","Prasata"
"736614917","261098","5560","132","30","20110401","2011","100","3115","Počet hospodářských zvířat","Jihomoravský kraj","Prasata"
"736614926","111408","5560","132","30","20110401","2011","100","3123","Počet hospodářských zvířat","Olomoucký kraj","Prasata"
"736614711","68719","5560","132","30","20110401","2011","100","3069","Počet hospodářských zvířat","Ústecký kraj","Prasata"
"736614773","24942","5560","132","30","20110401","2011","100","3077","Počet hospodářských zvířat","Liberecký kraj","Prasata"
"736614569","302400","5560","132","30","20110401","2011","93","1","Počet hospodářských zvířat","Hlavní město Praha + Středočeský kraj","Prasata"
"736614698","472320","5560","132","81","20110401","2011","100","3042","Počet hospodářských zvířat","Plzeňský kraj","Slepice"
"736614913","87701","5560","132","81","20110401","2011","100","3107","Počet hospodářských zvířat","Kraj Vysočina","Slepice"
"736614841","1422567","5560","132","81","20110401","2011","100","3085","Počet hospodářských zvířat","Královéhradecký kraj","Slepice"
"736614707","123742","5560","132","81","20110401","2011","100","3051","Počet hospodářských zvířat","Karlovarský kraj","Slepice"
"736614565","6137484","5560","132","81","20110401","2011","97","19","Počet hospodářských zvířat","Česká republika","Slepice"
"736615056","354887","5560","132","81","20110401","2011","100","3140","Počet hospodářských zvířat","Moravskoslezský kraj","Slepice"
"736614850","384229","5560","132","81","20110401","2011","100","3093","Počet hospodářských zvířat","Pardubický kraj","Slepice"
"736614993","126326","5560","132","81","20110401","2011","100","3131","Počet hospodářských zvířat","Zlínský kraj","Slepice"
"736614636","649362","5560","132","81","20110401","2011","100","3034","Počet hospodářských zvířat","Jihočeský kraj","Slepice"
"736614922","568889","5560","132","81","20110401","2011","100","3115","Počet hospodářských zvířat","Jihomoravský kraj","Slepice"
"736614984","123915","5560","132","81","20110401","2011","100","3123","Počet hospodářských zvířat","Olomoucký kraj","Slepice"
"736614769","290265","5560","132","81","20110401","2011","100","3069","Počet hospodářských zvířat","Ústecký kraj","Slepice"
"736614778","2823","5560","132","81","20110401","2011","100","3077","Počet hospodářských zvířat","Liberecký kraj","Slepice"
"736614627","1530458","5560","132","81","20110401","2011","93","1","Počet hospodářských zvířat","Hlavní město Praha + Středočeský kraj","Slepice"
"736614641","9448","5560","132","33","20110401","2011","100","3042","Počet hospodářských zvířat","Plzeňský kraj","Prasnice chovné"
"736614855","19891","5560","132","33","20110401","2011","100","3107","Počet hospodářských zvířat","Kraj Vysočina","Prasnice chovné"
"736614783","7124","5560","132","33","20110401","2011","100","3085","Počet hospodářských zvířat","Královéhradecký kraj","Prasnice chovné"
"736614703","541","5560","132","33","20110401","2011","100","3051","Počet hospodářských zvířat","Karlovarský kraj","Prasnice chovné"
"736614561","112441","5560","132","33","20110401","2011","97","19","Počet hospodářských zvířat","Česká republika","Prasnice chovné"
"736614998","4336","5560","132","33","20110401","2011","100","3140","Počet hospodářských zvířat","Moravskoslezský kraj","Prasnice chovné"
"736614846","9081","5560","132","33","20110401","2011","100","3093","Počet hospodářských zvířat","Pardubický kraj","Prasnice chovné"
"736614989","4286","5560","132","33","20110401","2011","100","3131","Počet hospodářských zvířat","Zlínský kraj","Prasnice chovné"
"736614632","10675","5560","132","33","20110401","2011","100","3034","Počet hospodářských zvířat","Jihočeský kraj","Prasnice chovné"
"736614918","15206","5560","132","33","20110401","2011","100","3115","Počet hospodářských zvířat","Jihomoravský kraj","Prasnice chovné"
"736614927","6227","5560","132","33","20110401","2011","100","3123","Počet hospodářských zvířat","Olomoucký kraj","Prasnice chovné"
"736614712","4494","5560","132","33","20110401","2011","100","3069","Počet hospodářských zvířat","Ústecký kraj","Prasnice chovné"
"736614774","2205","5560","132","33","20110401","2011","100","3077","Počet hospodářských zvířat","Liberecký kraj","Prasnice chovné"
"736614570","18927","5560","132","33","20110401","2011","93","1","Počet hospodářských zvířat","Hlavní město Praha + Středočeský kraj","Prasnice chovné"
"736614642","19929","5560","132","50","20110401","2011","100","3042","Počet hospodářských zvířat","Plzeňský kraj","Ovce"
"736614910","12994","5560","132","50","20110401","2011","100","3107","Počet hospodářských zvířat","Kraj Vysočina","Ovce"
"736614784","15214","5560","132","50","20110401","2011","100","3085","Počet hospodářských zvířat","Královéhradecký kraj","Ovce"
"736614704","13485","5560","132","50","20110401","2011","100","3051","Počet hospodářských zvířat","Karlovarský kraj","Ovce"
"736614562","209052","5560","132","50","20110401","2011","97","19","Počet hospodářských zvířat","Česká republika","Ovce"
"736615053","17387","5560","132","50","20110401","2011","100","3140","Počet hospodářských zvířat","Moravskoslezský kraj","Ovce"
"736614847","13739","5560","132","50","20110401","2011","100","3093","Počet hospodářských zvířat","Pardubický kraj","Ovce"
"736614990","20103","5560","132","50","20110401","2011","100","3131","Počet hospodářských zvířat","Zlínský kraj","Ovce"
"736614633","27047","5560","132","50","20110401","2011","100","3034","Počet hospodářských zvířat","Jihočeský kraj","Ovce"
"736614919","9510","5560","132","50","20110401","2011","100","3115","Počet hospodářských zvířat","Jihomoravský kraj","Ovce"
"736614981","9164","5560","132","50","20110401","2011","100","3123","Počet hospodářských zvířat","Olomoucký kraj","Ovce"
"736614713","11154","5560","132","50","20110401","2011","100","3069","Počet hospodářských zvířat","Ústecký kraj","Ovce"
"736614775","16656","5560","132","50","20110401","2011","100","3077","Počet hospodářských zvířat","Liberecký kraj","Ovce"
"736614571","22670","5560","132","50","20110401","2011","93","1","Počet hospodářských zvířat","Hlavní město Praha + Středočeský kraj","Ovce"
"736615118","161734","5560","132","1","20120401","2012","100","3042","Počet hospodářských zvířat","Plzeňský kraj","Skot"
"736614352","211348","5560","132","1","20120401","2012","100","3107","Počet hospodářských zvířat","Kraj Vysočina","Skot"
"736615261","100743","5560","132","1","20120401","2012","100","3085","Počet hospodářských zvířat","Královéhradecký kraj","Skot"
"736615181","40444","5560","132","1","20120401","2012","100","3051","Počet hospodářských zvířat","Karlovarský kraj","Skot"
"736615037","1353685","5560","132","1","20120401","2012","97","19","Počet hospodářských zvířat","Česká republika","Skot"
"736614495","76383","5560","132","1","20120401","2012","100","3140","Počet hospodářských zvířat","Moravskoslezský kraj","Skot"
"736614343","111722","5560","132","1","20120401","2012","100","3093","Počet hospodářských zvířat","Pardubický kraj","Skot"
"736614486","59135","5560","132","1","20120401","2012","100","3131","Počet hospodářských zvířat","Zlínský kraj","Skot"
"736615109","212018","5560","132","1","20120401","2012","100","3034","Počet hospodářských zvířat","Jihočeský kraj","Skot"
"736614414","60167","5560","132","1","20120401","2012","100","3115","Počet hospodářských zvířat","Jihomoravský kraj","Skot"
"736614423","90548","5560","132","1","20120401","2012","100","3123","Počet hospodářských zvířat","Olomoucký kraj","Skot"
"736615190","36628","5560","132","1","20120401","2012","100","3069","Počet hospodářských zvířat","Ústecký kraj","Skot"
"736615252","45606","5560","132","1","20120401","2012","100","3077","Počet hospodářských zvířat","Liberecký kraj","Skot"
"736615046","147209","5560","132","1","20120401","2012","93","1","Počet hospodářských zvířat","Hlavní město Praha + Středočeský kraj","Skot"
"736615123","1062","5560","132","60","20120401","2012","100","3042","Počet hospodářských zvířat","Plzeňský kraj","Kozy"
"736614357","2562","5560","132","60","20120401","2012","100","3107","Počet hospodářských zvířat","Kraj Vysočina","Kozy"
"736615266","1449","5560","132","60","20120401","2012","100","3085","Počet hospodářských zvířat","Královéhradecký kraj","Kozy"
"736615186","1857","5560","132","60","20120401","2012","100","3051","Počet hospodářských zvířat","Karlovarský kraj","Kozy"
"736615042","23620","5560","132","60","20120401","2012","97","19","Počet hospodářských zvířat","Česká republika","Kozy"
"736614554","1427","5560","132","60","20120401","2012","100","3140","Počet hospodářských zvířat","Moravskoslezský kraj","Kozy"
"736614348","1301","5560","132","60","20120401","2012","100","3093","Počet hospodářských zvířat","Pardubický kraj","Kozy"
"736614491","967","5560","132","60","20120401","2012","100","3131","Počet hospodářských zvířat","Zlínský kraj","Kozy"
"736615114","3080","5560","132","60","20120401","2012","100","3034","Počet hospodářských zvířat","Jihočeský kraj","Kozy"
"736614419","1171","5560","132","60","20120401","2012","100","3115","Počet hospodářských zvířat","Jihomoravský kraj","Kozy"
