,,,muži,ženy,první,druhé,třetí,"čtvrté a vyšší pořadí",dítěte,"prvního dítěte",
,Česká republika,114405,58671,55734,55726,41832,12022,4825,30.74363,28.9397,56091
,Hlavní město Praha,15324,7970,7354,8072,5603,1320,329,32.41849,31.09465,6322
,Středočeský kraj,15323,7957,7366,7213,5948,1610,552,31.05531,29.11181,7332
,Benešov,1101,572,529,531,395,131,44,30.69164,28.69586,571
,Beroun,1089,572,517,509,433,114,33,31.38062,29.58251,507
,Kladno,1780,909,871,824,698,173,85,30.52416,28.56675,936
,Kolín,1205,673,532,567,467,129,42,30.76058,28.7381,626
,Kutná Hora,813,406,407,381,321,77,34,30.17405,28.06168,435
,Mělník,1240,638,602,603,476,119,42,30.55161,28.41045,618
,Mladá Boleslav,1442,745,697,712,553,130,47,30.64216,28.87781,673
,Nymburk,1078,573,505,502,425,106,45,31.07885,29.23307,514
,Praha-východ,2101,1074,1027,984,829,228,60,32.05593,30.07215,885
,Praha-západ,1667,866,801,767,651,198,51,32.33323,30.51173,659
,Příbram,1230,638,592,564,475,140,51,30.78455,28.83511,606
,Rakovník,577,291,286,269,225,65,18,29.94367,28.02788,302
,Jihočeský kraj,6880,3489,3391,3328,2515,752,285,30.46439,28.55679,3480
,České Budějovice,2159,1095,1064,1083,802,218,56,30.9516,29.22761,988
,Český Krumlov,662,346,316,296,251,77,38,30.03474,27.91216,349
,Jindřichův Hradec,905,449,456,448,304,110,43,29.91989,27.80804,508
,Písek,724,373,351,354,257,79,34,30.31906,28.69492,393
,Prachatice,553,275,278,263,207,59,24,30.0877,28.31749,314
,Strakonice,784,393,391,360,293,93,38,30.27296,28.04444,400
,Tábor,1093,558,535,524,401,116,52,30.63724,28.55344,528
,Plzeňský kraj,6066,3091,2975,3024,2201,621,220,30.51418,28.71362,3084
,Domažlice,619,318,301,284,230,68,37,30.10743,28.16901,312
,Klatovy,827,443,384,408,279,95,45,30.37545,28.32843,420
,Plzeň-město,2080,1002,1078,1087,749,190,54,31.02019,29.41812,1013
,Plzeň-jih,668,350,318,325,255,64,24,30.23054,28.21692,341
,Plzeň-sever,774,398,376,385,301,68,20,30.78553,28.93377,393
,Rokycany,506,259,247,255,183,56,12,30.21146,28.3902,256
,Tachov,592,321,271,280,204,80,28,29.57939,27.66071,349
,Karlovarský kraj,2753,1375,1378,1320,943,328,162,29.74046,27.71136,1654
,Cheb,889,448,441,384,313,127,65,29.7081,27.44271,529
