"idhod","hodnota","stapro_kod","MJ_CIS","MJ_KOD","DRUHZPLOD_cis","DRUHZPLOD_kod","rok","uzemi_cis","uzemi_kod","STAPRO_TXT","uzemi_txt","DRUHZPLOD_txt"
"697233325","112938","5906","78","20103","209","505","2007","100","3140","Sklizeň zemědělských plodin","Moravskoslezský kraj","Pícniny na orné půdě"
"697233326","58077","5906","78","20103","209","401","2007","100","3140","Sklizeň zemědělských plodin","Moravskoslezský kraj","Řepka"
"697233327","343067","5906","78","20103","208","30200","2007","100","3140","Sklizeň zemědělských plodin","Moravskoslezský kraj","Cukrovka technická"
"697233338","151450","5906","78","20103","209","806","2005","100","3093","Sklizeň zemědělských plodin","Pardubický kraj","Trvalé travní porosty"
"697233339","561917","5906","78","20103","209","502","2005","100","3093","Sklizeň zemědělských plodin","Pardubický kraj","Kukuřice na zeleno a siláž"
"697233340","271950","5906","78","20103","209","505","2005","100","3093","Sklizeň zemědělských plodin","Pardubický kraj","Pícniny na orné půdě"
"697233342","675","5906","78","20103","209","806","2005","100","3018","Sklizeň zemědělských plodin","Hlavní město Praha","Trvalé travní porosty"
"697233343","5837","5906","78","20103","209","502","2005","100","3018","Sklizeň zemědělských plodin","Hlavní město Praha","Kukuřice na zeleno a siláž"
"697233344","4037","5906","78","20103","209","505","2005","100","3018","Sklizeň zemědělských plodin","Hlavní město Praha","Pícniny na orné půdě"
"697233345","4306","5906","78","20103","209","401","2005","100","3018","Sklizeň zemědělských plodin","Hlavní město Praha","Řepka"
"697233346","19654","5906","78","20103","208","30200","2005","100","3018","Sklizeň zemědělských plodin","Hlavní město Praha","Cukrovka technická"
"697233348","679","5906","78","20103","209","306","2005","100","3018","Sklizeň zemědělských plodin","Hlavní město Praha","Brambory"
"697233349","278","5906","78","20103","209","201","2005","100","3018","Sklizeň zemědělských plodin","Hlavní město Praha","Luskoviny na zrno (hrách setý, lupina, bob, fazol, jiné luskoviny)"
"697233350","6970","5906","78","20103","209","105","2005","100","3018","Sklizeň zemědělských plodin","Hlavní město Praha","Ječmen"
"697233351","9","5906","78","20103","208","10200","2005","100","3018","Sklizeň zemědělských plodin","Hlavní město Praha","Žito"
"697233352","21059","5906","78","20103","209","103","2005","100","3018","Sklizeň zemědělských plodin","Hlavní město Praha","Pšenice"
"697233353","28560","5906","78","20103","209","112","2005","100","3018","Sklizeň zemědělských plodin","Hlavní město Praha","Obiloviny na zrno (pšenice, žito, ječmen, oves, tritikale, kukuřice na zrno, směsky obilovin jarní, směsky obilovin ozimé, čirok, jiné obiloviny)"
"697233354","102317","5906","78","20103","209","105","2006","100","3085","Sklizeň zemědělských plodin","Královéhradecký kraj","Ječmen"
"697233355","5280","5906","78","20103","208","10200","2006","100","3085","Sklizeň zemědělských plodin","Královéhradecký kraj","Žito"
