KU_KOD;KU_NAZEV;CELKOVY_POCET_PARCEL;CELKOVA_VYMERA;Orn· p˘da(2)-v˝mÏra;Chmelnice(3)-v˝mÏra;Vinice(4)-v˝mÏra;Zahrada(5)-v˝mÏra;Ovocn˝ sad(6)-v˝mÏra;Trval˝ travnÌ porost(7)-v˝mÏra;LesnÌ pozemek(10)-v˝mÏra;VodnÌ plocha(11)-v˝mÏra;ZastavÏn· plocha a n·dvo¯Ì(13)-v˝mÏra;OstatnÌ plocha(14)-v˝mÏra;DOMY_S_CP;STAVBY_S_CE;LV
600016;Abertamy;1518;4495301;0;0;0;57275;0;2354304;1201953;44286;91927;745556;285;67;674
600024;H¯ebeËn·;753;4201538;828;0;0;5075;0;2770870;207616;37776;30028;1149345;33;61;162
600032;Adamov u »esk˝ch BudÏjovic;1393;1030851;385674;0;0;130575;3555;193212;124165;9985;58801;124884;247;6;539
600041;Adamov;2491;3780970;482;0;0;113302;9908;95655;2295488;144666;226492;894977;322;6;2667
600059;DolnÌ Adröpach;1143;11653492;2127725;0;0;38640;0;2667197;6018557;92921;62272;646180;112;18;220
600067;HornÌ Adröpach;901;8061527;2539701;0;0;11080;0;1620940;3503273;6311;65118;315104;81;0;212
600075;Albe¯;1224;8893653;1806927;0;0;50448;0;1782691;3522092;868376;81863;781256;112;5;211
600083;Albrechtice;331;2478465;1301836;0;0;34647;0;428665;179572;370262;26753;136730;38;0;95
600091;Albrechtice u Mostu;160;4444767;5309;0;0;0;0;0;4111;55733;0;4379614;0;0;6
600105;Jeze¯Ì;205;10395444;0;0;0;0;0;0;8991118;22668;12181;1369477;1;0;10
600113;Albrechtice u Lanökrouna;1942;10074397;2010339;0;0;219670;3568;1496335;5699209;65667;76211;503398;158;0;300
600121;Albrechtice u »eskÈho TÏöÌna;5082;12687782;4959134;0;0;746401;9823;1337413;3223902;375951;424942;1610216;862;0;1529
600172;Albrechtice nad OrlicÌ;1838;5227509;825423;0;0;154772;0;342902;3366967;110788;130383;296274;342;2;504
600199;Nov· Ves u Albrechtic;1248;8423062;996722;0;0;108723;4533;549349;6047391;406938;57498;251908;85;120;314
600202;ätÏp·novsko;1399;11100023;1239234;0;0;60644;2648;1204324;7907389;377212;73460;235112;111;73;319
600229;Albrechtice nad Vltavou;2234;13009792;5600610;0;0;255047;26908;1306430;4497451;531873;174111;617362;263;112;687
600261;⁄draû;724;10639815;3788830;0;0;87377;2636;525330;5397014;467471;75219;295938;88;22;198
600288;Albrechtice v Jizersk˝ch hor·ch;2535;24539876;924;0;0;92990;0;1595361;21958467;94733;108613;688788;200;280;650
600300;AlbrechtiËky;1296;3954931;1583720;0;0;213683;0;171820;258924;197869;112738;1416177;222;0;298
600318;Nov· Horka;635;3408986;1043676;0;0;96505;0;479362;305941;1098648;48170;336684;58;2;245
600326;AndÏlka;1733;9673164;3929180;0;0;206818;59426;2433658;2281151;191415;108821;462695;118;12;213
600369;AndÏlsk· Hora;1714;8081298;1886626;0;0;52971;0;2382249;2608751;111814;76950;961937;102;111;372
600377;Anensk· Stud·nka;1382;4519757;958002;0;0;90887;18160;1325140;1898104;8386;27365;193713;51;0;88
600385;HelvÌkov;765;3384791;1603463;0;0;39816;15083;255235;1335884;1205;18974;115131;19;0;49
600393;Antoöovice;438;370576;224148;0;0;73188;0;7833;0;2470;30861;32076;89;0;140
600407;Archlebov;12999;13331635;6928617;0;664133;133211;193599;201398;4408349;113032;183650;505646;363;1;1049
600415;Arneötovice;526;5418168;3236319;0;0;44578;0;556217;1290883;43801;34671;211699;43;2;152
600423;Arnolec;2187;11358645;3858443;0;0;34264;0;1127236;5831090;130699;70943;305970;70;2;177
600431;Arnoltice;1142;5530476;1609228;0;0;133841;4791;449715;2983021;24212;46536;279132;139;55;309
600440;Bynovec;817;6360105;1615837;0;0;62767;3050;508880;3940696;15046;47180;166649;94;14;172
600458;Labsk· Str·Ú;682;2883216;1036804;0;0;105954;7250;331996;1233780;5940;35400;126092;103;23;200
600466;Arnoötovice;884;5645317;3437187;0;0;79024;2518;936034;684611;101476;69620;334847;68;3;148
600521;Aö;8507;13406994;1452527;0;0;1020942;0;2561316;4421561;61243;777235;3112170;1868;973;5470
600598;BabÌ;1665;11331231;790427;0;0;45958;0;3350062;6129667;23514;36899;954704;63;15;198
600601;Babice;2335;5567091;1822931;0;0;297963;1380;198381;2872477;44467;120437;209055;356;195;834
600610;VelkÈ Babice;951;2551374;1882667;0;0;99773;6845;194801;0;111491;77221;178576;84;0;182
600636;Babice u Lesonic;1089;4332566;3153305;0;0;76559;0;211065;552997;24235;53777;260628;66;0;140
600644;BolÌkovice;644;5236672;1570988;0;0;27060;0;238295;3185079;64334;23385;127531;28;1;89
600652;Babice u UherskÈho HradiötÏ;7438;6613402;4344350;0;12912;380964;67796;343716;17248;466250;287321;692845;594;23;1396
600661;Babice u äternberka;955;5943995;4023646;0;0;77609;0;167049;802194;152377;111685;609435;133;4;289
600679;Krako¯ice;255;2092775;1309794;0;0;39596;0;144076;404900;13672;37356;143381;32;0;57
600687;Babice u KelËe;906;2342169;1586369;0;0;76835;6890;143655;254444;82659;26540;164777;35;0;118
600695;Babice nad Svitavou;2897;17419718;1931835;0;0;263731;48166;102776;14484344;86482;136737;365647;380;104;736
